library_name,toy_name,toy_type,age_group_labels,request_number,damage_description,status,damage_created_on
Andheri Hub - Mumbai,PICTUREKA FS CLASSIC,Toy,5-8 years | 8-12 years,RQ92570,missing card and damege,PENDING,2026-09-17T16:56:08.438
Andheri Hub - Mumbai,Crocodile Pull Along Toy,Toy,0-1 years | 1-3 years,RQ92569,damege ,PENDING,2026-09-17T16:55:14.813
Ahmedabad HUB,Wooden Splash & Spin Gear and Maze Board,Toy,0-1 years | 1-3 years,RQ92568,MISSING PRODUCT,PENDING,2026-09-17T16:44:58.556
Ahmedabad HUB,Activity Walker,Big,0-1 years | 1-3 years,RQ92567,MISSING STICKS,PENDING,2026-09-17T16:40:17.908
Ahmedabad HUB,6-In-1 Live Band,Toy,0-1 years | 1-3 years,RQ92566,MISSING PART,PENDING,2026-09-17T16:36:51.732
Ahmedabad HUB,Triple Cross,Toy,5-8 years | 8-12 years,RQ92565,MISSING PRT,PENDING,2026-09-17T16:35:46.528
Ahmedabad HUB,Musical Snail,Toy,0-1 years | 1-3 years,RQ92564,MISSING TRENDI,PENDING,2026-09-17T16:32:23.249
Ahmedabad HUB,Weigh N Play Elephant,Toy,5-8 years,RQ92563,MISSING PRODUCT ,PENDING,2026-09-17T16:26:29.159
Ahmedabad HUB,Baby Maestro Touch Piano,Toy,0-1 years | 1-3 years,RQ92561,DAMAGE PIANO,PENDING,2026-09-17T16:24:37.748
Ahmedabad HUB,Montessori Rattles Kit,Toy,0-1 years | 1-3 years,RQ92560,DAMAGE,PENDING,2026-09-17T16:16:12.078
Yogita's Toy Library,Football game,Big,5-8 years | 8-12 years,RQ92559,Damage,PENDING,2026-09-17T16:15:04.019
Delhi HUB,Dinosaur Drop 'N Pop,Toy,0-1 years | 1-3 years,RQ92558,DAMAGE,PENDING,2026-09-17T16:13:58.264
Delhi HUB,Playshifu AR Learning Cards - Safari,Toy,1-3 years | 3-5 years,RQ92557,DAMAGE,PENDING,2026-09-17T16:09:32.49
Delhi HUB,SLIDE AND SEE ZOO,Books,1-3 years | 3-5 years,RQ92556,DAMAGE,PENDING,2026-09-17T16:04:50.364
Delhi HUB,Classic Ball Slider,Toy,0-1 years | 1-3 years,RQ92555,DAMAGE,PENDING,2026-09-17T16:03:44.062
Delhi HUB,Musical Activity Table,Big,0-1 years | 1-3 years | 3-5 years,RQ92554,DAMAGE,PENDING,2026-09-17T16:02:41.629
Andheri Hub - Mumbai,Cow Shape Sorter,Toy,0-1 years | 1-3 years,RQ92552,Ring missing ,PENDING,2026-09-17T15:55:20.289
the EleFant Play Arena - Noida,UTV Jeep,Big,1-3 years | 3-5 years | 5-8 years,RQ92550,transfarmer burn,PENDING,2026-09-17T15:44:44.029
Yogita's Toy Library,Cactus Toss A Ring Game,Toy,5-8 years | 8-12 years,RQ92548,Damage,PENDING,2026-09-17T15:32:28.16
Pune Hub,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ92547,18 pcs missing ,PENDING,2026-09-17T15:20:30.883
Ahmedabad HUB,Wooden City Building Blocks Set (115 Pieces),Toy,3-5 years | 5-8 years,RQ92544,MA,PENDING,2026-09-17T14:38:34.416
Ahmedabad HUB,Wooden City Building Blocks Set (115 Pieces),Toy,3-5 years | 5-8 years,RQ92543,D,PENDING,2026-09-17T14:38:10.676
Yogita's Toy Library,PepPlay Doodle Placemats Travel Set - Superheroes & Monster,Toy,3-5 years | 5-8 years,RQ92541,Damage,PENDING,2026-09-17T14:28:30.706
Gurgaon Hub,Pull Along Caterpillar,Toy,0-1 years | 1-3 years,RQ92531,2 BOLE MISSING,PENDING,2026-09-17T13:38:15.797
Bangalore - Varthur Hub,2-Seater Scooter,Big,1-3 years | 3-5 years | 5-8 years,RQ92529,sa,PENDING,2026-09-17T13:37:15.54
Bangalore - Varthur Hub,English Alphabet flash cards - 26 cards,Toy,1-3 years | 3-5 years,RQ92528,s,PENDING,2026-09-17T13:36:48.333
Bangalore - Varthur Hub,F1 Rider,Big,3-5 years | 5-8 years | 8-12 years,RQ92527,s,PENDING,2026-09-17T13:36:13.414
Bangalore - Varthur Hub,Ambulance,Big,1-3 years | 3-5 years,RQ92526,s,PENDING,2026-09-17T13:35:14.723
Yogita's Toy Library,Pizza Game,Toy,3-5 years | 5-8 years,RQ92525,s,PENDING,2026-09-17T13:34:48.407
Bangalore - Varthur Hub,Air Carrom Big,Big,3-5 years | 5-8 years | 8-12 years,RQ92524,s,PENDING,2026-09-17T13:34:32.092
Bangalore - Varthur Hub,Tron EV Bike,Big,3-5 years | 5-8 years,RQ92523,sd,PENDING,2026-09-17T13:33:58.096
Yogita's Toy Library,Mini Bike,Big,1-3 years | 3-5 years,RQ92522,sd,PENDING,2026-09-17T13:33:34.016
Bangalore - Varthur Hub,Premium Wooden Junior Doctor Set,Toy,3-5 years | 5-8 years,RQ92521,x,PENDING,2026-09-17T13:33:12.088
Bangalore - Varthur Hub,Magnetic Block 38,Toy,3-5 years | 5-8 years,RQ92520,x,PENDING,2026-09-17T13:32:45.732
Yogita's Toy Library,Beauty Set Wheel,Toy,3-5 years | 5-8 years,RQ92519,d,PENDING,2026-09-17T13:31:10.819
Bangalore - Varthur Hub,NE KOP DW ROLE ON PLAY SMALL CHEF SET,Toy,3-5 years | 5-8 years,RQ92518,x,PENDING,2026-09-17T13:30:56.405
Bangalore - Varthur Hub,Wooden 4 Level Sliding Car Track Toy,Toy,3-5 years | 5-8 years,RQ92517,d,PENDING,2026-09-17T13:30:23.996
Bangalore - Varthur Hub,Dino Sensory Wall Painting,Toy,0-1 years | 1-3 years,RQ92516,d,PENDING,2026-09-17T13:30:10.744
Bangalore - Varthur Hub,Floating Bath Buddies,Toy,0-1 years | 1-3 years,RQ92515,d,PENDING,2026-09-17T13:29:34.556
Pune Hub,Newtons Tree,Toy,5-8 years | 8-12 years,RQ92511,Wood pcs missing ,PENDING,2026-09-17T12:58:26.731
Yogita's Toy Library,NE ELC CHAIN LINK,Toy,0-1 years | 1-3 years,RQ92509,Damage,PENDING,2026-09-17T12:49:59.758
Yogita's Toy Library,Magplay LED Roundels,Toy,3-5 years | 5-8 years,RQ92507,Damage,PENDING,2026-09-17T12:49:10.405
Pune Hub,Magplay Tiles,Toy,3-5 years | 5-8 years,RQ92506,14 pcs missing ,PENDING,2026-09-17T12:46:50.568
Hyderabad Hub,Pen Control - Write & Wipe Activity,Toy,3-5 years,RQ92502,Scech missing,PENDING,2026-09-17T12:17:14.722
Hyderabad Hub,Classic Ball Slider,Toy,0-1 years | 1-3 years,RQ92500,Damage,PENDING,2026-09-17T12:08:45.397
Andheri Hub - Mumbai,Premium Quality Wooden Dressing Table CnC,Big,1-3 years | 3-5 years | 5-8 years,RQ92499,Damage ,PENDING,2026-09-17T12:04:03.182
Hyderabad Hub,Shape Scapes,Toy,1-3 years | 3-5 years,RQ92498,5 Pisces missing,PENDING,2026-09-17T12:03:21.662
Ahmedabad HUB,Healthy Eating,Toy,1-3 years | 3-5 years,RQ92497,na,PENDING,2026-09-17T12:02:47.829
Ahmedabad HUB,Healthy Eating,Toy,1-3 years | 3-5 years,RQ92496,x,PENDING,2026-09-17T12:02:24.272
Andheri Hub - Mumbai,2 in 1 Magnetic Fishing,Toy,1-3 years | 3-5 years,RQ92494,2 stick  found   0,PENDING,2026-09-17T11:52:12.648
Suman Jain,ELC Shape Sorting Bus-Red,Toy,0-1 years | 1-3 years,RQ92492,missing part ,PENDING,2026-09-17T11:51:02.458
Ahmedabad HUB,PepPlay MY FIRST TOUCH & FEEL PUZZLES - WILD ANIMALS,Toy,0-1 years | 1-3 years,RQ92491,na,PENDING,2026-09-17T11:50:39.512
Ahmedabad HUB,PepPlay MY FIRST TOUCH & FEEL PUZZLES - WILD ANIMALS,Toy,0-1 years | 1-3 years,RQ92490,x,PENDING,2026-09-17T11:50:20.717
Andheri Hub - Mumbai,Playshifu Minglings - Animals,Toy,1-3 years | 3-5 years,RQ92487,damage and missing part ,PENDING,2026-09-17T11:46:59.001
Suman Jain,Pho-Pho-Phonics card with Interactive Pen,Toy,3-5 years | 5-8 years,RQ92485,missing part ,PENDING,2026-09-17T11:30:38.168
Andheri Hub - Mumbai,Basket ring toss 2in1,Toy,5-8 years | 8-12 years,RQ92483,8 ball found 3,PENDING,2026-09-17T11:29:05.503
Yogita's Toy Library,Skill Games,Toy,5-8 years | 8-12 years,RQ92482,Damage,PENDING,2026-09-17T11:27:30.152
Yogita's Toy Library,Hide & Seek : Magical adventure (torch book),Books,1-3 years | 3-5 years,RQ92481,Damage,PENDING,2026-09-17T11:26:44.726
Yogita's Toy Library,Big Kitchen Set Trolley,Toy,3-5 years | 5-8 years,RQ92480,Damage,PENDING,2026-09-17T11:26:04.34
Andheri Hub - Mumbai,Farm Lacing Wooden Blocks,Toy,0-1 years | 1-3 years,RQ92479,missing part ,PENDING,2026-09-17T11:25:35.984
Yogita's Toy Library,33-Piece Wooden Tool Kit Set with Tool Box,Toy,1-3 years | 3-5 years,RQ92478,Pic's missing,PENDING,2026-09-17T11:21:50.842
Yogita's Toy Library,Magbox - Magnetic Toy - 50 pieces,Toy,3-5 years | 5-8 years,RQ92477,Damage,PENDING,2026-09-17T11:20:23.34
