row_label,toy_type,Hyderabad Hub,Indore Hub,Madhvi Jay Gajjar,Nagpur Hub,Pune Hub,Sangeeta Jain,the EleFant Play Arena - Noida,Yogita's Toy Library,Ahmedabad HUB,Gurgaon Hub,Delhi HUB,Chennai Hub,Andheri Hub - Mumbai,Bangalore - Varthur Hub
Active Subscribers,,337,63,173,84,388,60,210,413,710,168,293,95,1205,268
Total Stock,Big,752,161,315,169,684,14,426,737,1516,419,429,191,1331,537
Total Stock,Toy,4985,1093,1677,952,3379,1497,1706,4419,5447,2308,2239,1787,6340,1974
Total Stock,Books,781,169,300,134,468,311,296,518,672,302,286,305,784,269
Rented Out,Big,429,72,220,111,486,10,247,431,782,202,296,112,972,263
Rented Out,Toy,1400,340,919,434,1417,182,720,1639,1844,538,811,652,3556,786
Rented Out,Books,123,42,63,26,181,15,92,139,154,52,77,49,357,86
Available,Big,186,81,82,49,130,2,141,229,383,153,62,64,198,146
Available,Toy,2254,413,562,401,981,1227,745,1620,1802,1239,789,921,1136,622
Available,Books,596,122,228,107,233,295,192,328,443,237,174,248,350,154
Damages,Big,137,8,13,9,68,2,38,77,351,64,71,15,161,128
Damages,Toy,1331,340,196,117,981,88,241,1160,1801,531,639,214,1648,566
Damages,Books,62,5,9,1,54,1,12,51,75,13,35,8,77,29
Unique SKUs,Big,73,53,68,52,87,11,78,92,94,79,78,51,87,81
Unique SKUs,Toy,642,630,636,584,648,576,643,652,653,646,652,625,650,539
Unique SKUs,Books,134,134,134,133,134,134,134,134,134,134,134,134,134,122
Visible to Customers,Big,32,27,27,23,36,1,44,46,47,48,25,26,27,37
Visible to Customers,Toy,301,245,270,214,318,459,341,406,342,395,316,357,354,282
Visible to Customers,Books,100,87,112,70,97,115,92,107,110,100,94,104,111,86
Available in 1-3 Days,Big,32,27,27,23,36,1,44,46,47,48,25,26,27,37
Available in 1-3 Days,Toy,301,245,270,214,318,459,341,406,342,395,316,357,354,282
Available in 1-3 Days,Books,100,87,112,70,97,115,92,107,110,100,94,104,111,86
Available in 7-8 Days,Big,1,2,6,3,5,,1,5,10,2,5,,8,3
Available in 7-8 Days,Toy,4,,19,8,8,,,4,9,1,5,1,37,
Available in 7-8 Days,Books,,,,,1,,,,,,1,,2,
Available in 9-12 Days,Big,12,5,6,5,16,,11,17,8,8,18,11,20,15
Available in 9-12 Days,Toy,18,5,4,7,36,,10,23,19,5,23,10,45,9
Available in 9-12 Days,Books,1,,,,,,3,1,,,4,,3,1
Available in 10-12 Days,Big,,,,,,,1,,,,1,,2,
Available in 12-14 Days,Big,,,,,,,1,,1,,,,1,
Available in 13-15 Days,Big,,,,,,,1,1,,1,,,,1
Available in 14-16 Days,Big,,,,,,,1,,1,,,,,
Available in 16-18 Days,Big,,,,,,,,,,,1,,,
Available in 17-18 Days,Big,,,,1,1,,,,,,,,,1
Available in 18-18 Days,Big,,,,,,,,,,,2,,1,
Not Ordered in 6mo,Big,,1,,,1,,1,1,1,1,1,,1,1
Not Ordered in 6mo,Toy,11,11,11,11,11,11,11,11,11,11,11,11,11,1
Not Ordered in 6mo,Books,1,1,1,1,1,1,1,1,1,1,1,1,1,
Age Group 3-5 years,Big,64,49,59,47,74,10,69,81,83,70,69,45,78,72
Age Group 0-1 years,Big,17,6,14,6,24,1,14,18,20,15,15,11,19,16
Age Group 5-8 years,Big,40,33,39,33,45,6,47,56,57,47,46,27,49,52
Age Group 1-3 years,Big,55,39,51,37,68,7,57,65,64,58,57,37,62,56
Age Group 8-12 years,Big,10,8,10,8,11,2,11,17,18,11,11,9,15,16
Age Group 3-5 years,Toy,373,373,371,349,379,347,376,382,383,378,383,361,383,306
Age Group 1-3 years,Toy,282,271,278,251,283,246,280,283,284,281,283,276,281,228
Age Group 8-12 years,Toy,132,131,132,129,132,129,132,132,132,132,132,132,132,109
Age Group 0-1 years,Toy,123,113,120,93,124,86,122,125,125,123,124,118,122,112
Age Group 5-8 years,Toy,301,300,299,281,306,273,304,310,310,306,310,290,310,258
Age Group 8-12 years,Books,13,13,13,13,13,13,13,13,13,13,13,13,13,11
Age Group 5-8 years,Books,31,31,31,31,31,31,31,31,31,31,31,31,31,27
Age Group 0-1 years,Books,16,16,16,16,16,16,16,16,16,16,16,16,16,15
Age Group 1-3 years,Books,73,73,73,73,73,73,73,73,73,73,73,73,73,67
Age Group 3-5 years,Books,78,78,78,77,78,78,78,78,78,78,78,78,78,72
